Student_ID,Gender,Attendance_Rate,Study_Hours_per_Week,Physics,Maths,Biology,Chemistry,Past_Exam_Scores,Final_Exam_Score,Pass_Fail
S147,Male,68.26784098,31,31,67,74,77,86,65,Pass
S136,Male,78.22292713,16,72,30,71,61,73,67,Pass
S209,Female,87.52509624,21,45,43,45,88,74,58,Pass
S458,Female,92.07648302,27,35,96,45,79,99,81,Pass
S078,Female,98.65551746,37,74,37,51,51,63,53,Pass
S417,Male,84.15919282,30,88,95,38,47,77,70,Pass
S302,Male,89.38949444,24,37,56,58,86,95,69,Pass
S009,Male,50.68359824,31,35,86,34,52,78,59,Pass
S044,Female,80.8631856,34,93,30,35,83,94,70,Pass
S331,Male,65.49684631,27,65,31,49,91,86,65,Pass
S451,Female,69.83246865,35,31,94,65,89,58,53,Pass
S059,Male,92.10457075,11,91,68,99,47,95,85,Pass
S315,Male,78.8815977,25,92,50,72,52,81,74,Pass
S295,Female,66.60732063,18,72,46,39,89,64,64,Pass
S141,Female,62.21765777,12,54,55,97,60,62,61,Pass
S274,Female,55.03973015,34,64,58,75,76,71,64,Pass
S327,Male,93.03160089,32,87,35,83,92,78,76,Pass
S413,Female,71.08519673,24,93,80,82,70,81,76,Pass
S452,Female,97.70434683,37,41,66,72,71,55,56,Pass
S386,Female,85.19730676,39,31,59,95,55,62,57,Pass
S458,Female,92.07648302,27,70,82,83,77,99,87,Pass
S079,Male,80.09676978,14,59,56,68,95,79,76,Pass
S375,Male,97.22048628,36,34,78,55,91,93,77,Pass
S384,Male,93.82220379,27,43,86,52,62,57,48,Fail
S207,Female,89.07572409,20,86,37,64,52,92,79,Pass
S071,Female,70.01502445,26,86,78,43,41,69,62,Pass
S489,Male,99.02884001,27,37,95,36,81,85,64,Pass
S066,Female,78.98249672,38,66,67,50,77,96,75,Pass
S018,Female,68.89252746,32,37,79,67,94,66,61,Pass
S015,Female,79.25747662,27,40,71,61,94,67,65,Pass
S155,Male,50.91212407,39,78,67,56,78,52,57,Pass
S159,Male,78.79992089,14,35,64,47,65,91,66,Pass
S368,Female,77.83607924,15,80,34,72,39,95,68,Pass
S104,Female,96.20208796,28,32,91,98,82,83,79,Pass
S329,Female,59.22314357,20,96,87,47,93,96,87,Pass
S397,Female,93.053401,37,52,73,41,64,81,63,Pass
S097,Female,68.86429826,29,85,39,51,86,92,75,Pass
S112,Male,84.35827527,14,40,77,84,97,94,83,Pass
S370,Male,90.26574837,28,46,84,89,79,74,62,Pass
S463,Female,73.71186544,13,76,41,48,52,77,63,Pass
S060,Male,88.44588707,32,94,58,39,93,78,79,Pass
S041,Male,81.96806785,37,53,39,81,92,67,69,Pass
S097,Female,68.86429826,29,76,98,78,53,92,76,Pass
S216,Male,65.80982911,21,43,65,52,30,92,62,Pass
S430,Female,86.60922892,23,78,60,37,58,79,76,Pass
S377,Female,70.31961541,35,33,63,76,60,85,62,Pass
S187,Female,60.08652312,22,88,89,67,91,78,75,Pass
S233,Female,66.6407893,35,68,90,41,49,78,60,Pass
S166,Male,85.92286354,16,76,65,38,38,83,64,Pass
S207,Female,89.07572409,20,38,59,80,83,92,76,Pass
S419,Female,76.48308393,37,76,40,30,51,82,71,Pass
S033,Female,90.81928676,19,92,50,99,72,88,73,Pass
S185,Male,77.4301559,33,51,37,57,87,94,69,Pass
S057,Female,89.82358878,37,30,92,48,56,84,62,Pass
S372,Female,80.15987011,21,63,56,81,78,63,64,Pass
S395,Male,88.69172616,12,57,48,54,47,80,72,Pass
S211,Male,91.25663383,10,55,87,63,42,85,64,Pass
S361,Female,62.6944282,29,49,80,94,68,56,49,Fail
S382,Female,92.40640477,22,94,95,42,64,51,57,Pass
S389,Male,66.79329286,37,87,63,38,91,70,64,Pass
S387,Male,95.53120018,35,39,70,42,90,66,61,Pass
S380,Male,81.66203875,39,76,79,57,36,97,77,Pass
S020,Male,60.25226643,36,79,30,60,75,80,76,Pass
S445,Female,91.85394954,15,56,35,71,52,93,73,Pass
S380,Male,81.66203875,39,59,57,77,72,97,86,Pass
S099,Female,93.41505535,22,44,67,46,30,88,63,Pass
S448,Female,86.07664306,37,76,30,76,63,60,61,Pass
S408,Female,87.08434721,35,58,77,98,89,73,76,Pass
S089,Female,56.43741991,15,48,80,82,40,58,64,Pass
S049,Female,54.55010455,17,47,81,98,80,91,71,Pass
S194,Male,80.30509405,26,88,61,94,73,62,57,Pass
S121,Female,59.11419392,35,53,99,62,91,55,55,Pass
S362,Male,59.80565498,26,95,38,39,59,52,48,Fail
S322,Male,60.63403922,16,34,31,73,46,76,59,Pass
S499,Male,73.6605059,24,97,91,97,64,68,63,Pass
S251,Female,76.82406757,34,75,55,60,37,55,45,Fail
S314,Male,62.41132214,32,85,85,86,89,60,69,Pass
S200,Male,96.64690335,27,32,77,30,82,65,56,Pass
S399,Female,98.72736326,34,92,71,71,83,94,93,Pass
S072,Female,84.88337868,29,96,72,68,97,54,64,Pass
S162,Male,98.75335815,35,40,83,50,65,89,79,Pass
S440,Male,97.93135887,20,87,72,82,66,95,79,Pass
S139,Male,94.98236986,38,74,68,47,97,84,76,Pass
S449,Male,80.52023335,30,51,90,57,34,52,59,Pass
S108,Female,86.02580307,37,35,35,43,85,57,62,Pass
S476,Female,65.72982784,23,81,51,47,52,91,77,Pass
S068,Male,76.86317084,35,62,77,47,35,79,70,Pass
S178,Male,54.36450898,11,50,85,70,60,62,51,Pass
S406,Female,74.23891836,30,35,35,32,82,71,58,Pass
S340,Female,79.37268021,15,39,41,44,62,83,74,Pass
S368,Female,77.83607924,15,82,44,89,97,95,83,Pass
S370,Male,90.26574837,28,96,59,92,82,74,82,Pass
S379,Female,54.34625075,16,82,90,53,71,87,73,Pass
S246,Female,60.22722966,33,92,79,79,86,83,77,Pass
S164,Female,86.14480483,25,33,89,48,49,54,62,Pass
S008,Male,56.69260594,19,32,64,74,66,72,66,Pass
S051,Male,77.37231534,25,43,53,48,49,79,61,Pass
S142,Male,74.91238489,21,81,86,67,35,96,82,Pass
S394,Female,67.25960724,10,88,91,56,65,96,85,Pass
S045,Female,99.02313625,13,78,61,98,68,91,80,Pass
S013,Male,87.49553747,23,75,93,77,66,88,87,Pass
S085,Male,77.43576546,21,52,80,39,38,97,73,Pass
S300,Female,87.21248259,28,60,31,33,30,75,68,Pass
S438,Female,71.10180298,32,60,60,47,95,88,64,Pass
S439,Male,67.69356883,34,74,85,47,50,75,62,Pass
S012,Male,76.71731375,17,68,32,58,78,79,59,Pass
S366,Male,78.47217589,13,94,51,30,39,52,43,Fail
S380,Male,81.66203875,39,92,78,37,32,97,76,Pass
S180,Male,96.60071711,19,95,52,87,74,54,71,Pass
S486,Female,87.95179228,19,86,99,40,95,100,84,Pass
S431,Male,62.53653303,24,35,82,62,97,82,70,Pass
S160,Female,95.86978065,21,55,78,50,58,58,65,Pass
S353,Male,94.87152049,14,66,96,98,48,74,61,Pass
S265,Male,91.33994139,33,64,37,34,51,53,62,Pass
S152,Male,52.78267447,14,35,68,95,70,77,61,Pass
S147,Male,68.26784098,31,41,50,31,35,86,56,Pass
S259,Female,88.59409903,12,68,59,62,44,77,68,Pass
S429,Male,63.32491967,26,34,32,75,92,62,54,Pass
S014,Male,95.65828761,33,58,44,45,40,84,62,Pass
S159,Male,78.79992089,14,98,89,47,60,91,74,Pass
S482,Female,54.33526059,14,89,86,92,72,61,63,Pass
S297,Female,61.36978104,37,32,92,37,53,100,80,Pass
S055,Male,76.1801138,32,99,86,73,55,81,70,Pass
S207,Female,89.07572409,20,87,30,52,89,92,80,Pass
S280,Female,89.50423186,39,94,32,55,90,67,72,Pass
S034,Female,98.39868827,32,99,52,87,67,64,66,Pass
S494,Female,83.49587323,33,92,74,71,87,100,79,Pass
S163,Female,74.53743896,35,92,38,47,80,74,59,Pass
S433,Male,74.71369251,30,66,51,31,95,75,63,Pass
S028,Female,51.1092371,20,59,93,35,52,92,66,Pass
S328,Male,76.75348595,38,71,81,55,80,70,60,Pass
S355,Female,90.03748857,28,42,84,80,88,78,64,Pass
S225,Female,78.87431355,12,67,99,42,35,79,73,Pass
S160,Female,95.86978065,21,90,40,73,39,58,50,Pass
S213,Male,61.7845873,17,47,33,32,90,87,58,Pass
S435,Female,91.90534816,31,76,49,44,80,88,75,Pass
S271,Female,80.74751316,32,91,88,80,46,76,81,Pass
S365,Male,66.96356229,22,53,94,54,45,73,56,Pass
S186,Male,77.44609899,14,32,76,36,59,81,65,Pass
S284,Male,68.72176849,31,65,97,71,75,78,63,Pass
S019,Female,62.05424162,11,39,61,62,44,63,58,Pass
S280,Female,89.50423186,39,30,90,33,48,67,69,Pass
S143,Female,66.51742406,35,40,68,50,51,74,68,Pass
S299,Male,68.96528492,29,47,34,69,51,72,53,Pass
S090,Female,66.50497567,22,99,43,99,69,64,58,Pass
S214,Male,81.68792819,19,54,90,58,92,56,64,Pass
S369,Male,86.04065482,37,61,47,59,85,64,59,Pass
S375,Male,97.22048628,36,32,44,58,54,93,70,Pass
S402,Female,78.288831,34,47,85,82,78,87,81,Pass
S344,Female,76.72279456,17,38,39,86,73,73,66,Pass
S480,Female,84.52801162,27,30,53,66,64,61,59,Pass
S279,Male,95.93752611,26,60,72,66,56,75,63,Pass
S262,Female,78.27541737,27,54,33,69,49,86,69,Pass
S086,Male,76.72117519,14,58,34,31,63,50,42,Fail
S061,Male,53.31179889,31,99,51,76,83,98,82,Pass
S305,Female,70.72522921,14,71,92,33,43,53,60,Pass
S414,Male,56.61381056,30,38,74,65,82,64,68,Pass
S228,Female,76.59287398,35,53,85,92,94,67,72,Pass
S335,Female,67.46934995,19,91,87,54,90,54,66,Pass
S074,Female,84.82507331,15,67,60,86,62,79,68,Pass
S399,Female,98.72736326,34,77,73,79,86,94,87,Pass
S216,Male,65.80982911,21,41,52,31,83,92,69,Pass
S459,Male,92.32039247,37,40,39,52,43,61,46,Fail
S493,Male,52.57979033,32,59,32,79,93,81,63,Pass
S367,Female,94.37302413,13,86,95,52,67,69,58,Pass
S403,Male,99.26836561,33,54,71,44,43,90,67,Pass
S035,Female,54.42041117,35,94,99,80,51,98,89,Pass
S119,Female,55.24345833,30,74,95,46,66,98,70,Pass
S003,Male,69.64947245,32,56,79,62,67,58,56,Pass
S261,Male,79.92213506,13,85,54,58,59,79,77,Pass
S264,Male,79.95146824,16,49,80,75,89,71,67,Pass
S478,Female,98.10493929,38,65,40,60,55,60,58,Pass
S465,Female,67.57700806,31,90,38,64,61,96,75,Pass
S365,Male,66.96356229,22,78,89,45,61,73,68,Pass
